Town/City,County,HouseScore,BroadbandScore,SchoolScore,CrimeScore,Overall_Score
Bude,CORNWALL,9.04134615384615,3.65652173913044,4.565,0,4.315716973244148
Saltash,CORNWALL,6.9,4.6975,4.035,0,3.908125
St Austell,CORNWALL,7.58136,3.1731847133758,4.63166666666667,0,3.846552845010618
Looe,CORNWALL,7.84140166666667,3.19042553191489,4.115,0,3.78670679964539
Liskeard,CORNWALL,7.91666666666667,3.03277777777778,4.09,0,3.759861111111112
Redruth,CORNWALL,7.52766666666667,3.30645161290323,4.15,0,3.746029569892475
Camborne,CORNWALL,8.84,1.65782608695652,4.45,0,3.7369565217391303
Penzance,CORNWALL,8.33670833333333,2.3108904109589,4.24333333333333,0,3.72273301940639
Newquay,CORNWALL,7.35458333333333,2.58974358974359,4.6575,0.233220420276387,3.5921516257001334
St Ives,CORNWALL,6.2655,3.31264516129032,4.735,0,3.5782862903225805
